_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
940,940,388184,ST JOACHIM CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,3395 ST CLAIR AVE E,English Separate,388184,3395,St Clair Ave E,3395 St Clair Ave E,M1L 1W3,Scarborough,Toronto,St. Joachim Catholic School,102003,112131,3395,,,,339,"{'type': 'MultiPoint', 'coordinates': [[-79.2754113465998, 43.7130080216446]]}"
941,941,63252,ST JOHN BOSCO CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,75 HOLMESDALE RD,English Separate,63252,75,Holmesdale Rd,75 Holmesdale Rd,M6E 1Y2,York,Toronto,St. John Bosco Catholic School,102003,8266,75,,,,668,"{'type': 'MultiPoint', 'coordinates': [[-79.4505577405563, 43.688715787105]]}"
942,942,829026,ST JOHN CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,780 KINGSTON RD,English Separate,829026,780,Kingston Rd,780 Kingston Rd,M4E 1R7,former Toronto,Toronto,St. John Catholic School,102003,30059637,780,,,,3786,"{'type': 'MultiPoint', 'coordinates': [[-79.294568672894, 43.6802243802861]]}"
943,943,14258325,ST JOHN HENRY NEWMAN CATHOLIC HIGH SCHOOL,,ES,Toronto Catholic District School Board,100 BRIMLEY RD S,English Separate,14258325,100,Brimley Rd S,100 Brimley Rd S,M1M 3X4,Scarborough,Toronto,St. John Henry Newman Catholic High School,102004,30029505,100,,,,10496,"{'type': 'MultiPoint', 'coordinates': [[-79.2404353720764, 43.7147788010578]]}"
944,944,6942850,ST JOHN PAUL II CATHOLIC SECONDARY SCHOOL,,ES,Toronto Catholic District School Board,685 MILITARY TRL,English Separate,6942850,685,Military Trl,685 Military Trl,M1E 4P6,Scarborough,Toronto,Pope John Paul II Catholic Secondary School,102004,14658973,685,,,,8501,"{'type': 'MultiPoint', 'coordinates': [[-79.1993630894791, 43.7900759206163]]}"
945,945,9950447,ST JOHN THE EVANGELIST CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,23 GEORGE ST,English Separate,9950447,23,George St,23 George St,M9N 2B4,York,Toronto,St.John The Evangelist,102003,9950436,23,,,,9829,"{'type': 'MultiPoint', 'coordinates': [[-79.5202639895356, 43.7032102333552]]}"
946,946,9779709,ST JOHN VIANNEY CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,105 THISTLE DOWN BLVD,English Separate,9779709,105,Thistle Down Blvd,105 Thistle Down Blvd,M9V 1J5,Etobicoke,Toronto,St. John Vianney Catholic School,102003,9779703,105,,,,2621,"{'type': 'MultiPoint', 'coordinates': [[-79.5539537350338, 43.7380608406619]]}"
947,947,523760,ST JOHN XXIII CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,175 GRENOBLE DR,English Separate,523760,175,Grenoble Dr,175 Grenoble Dr,M3C 3E7,North York,Toronto,St. John XXIII Catholic School,102003,445634,175,,,,5756,"{'type': 'MultiPoint', 'coordinates': [[-79.3298478904051, 43.7124539719629]]}"
948,948,8823972,ST JOSAPHAT CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,110 TENTH  ST,English Separate,8823972,110,Tenth St,110 Tenth St,M8V 3G1,Etobicoke,Toronto,St. Josaphat Catholic School,102003,20048481,110,,,,2591,"{'type': 'MultiPoint', 'coordinates': [[-79.5090595341902, 43.5992985583395]]}"
949,949,832894,ST JOSEPH CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,176 LESLIE ST,English Separate,832894,176,Leslie St,176 Leslie St,M4M 3C7,former Toronto,Toronto,St. Joseph Catholic School,102003,14023389,176,,,,225,"{'type': 'MultiPoint', 'coordinates': [[-79.3318905488989, 43.6658080724709]]}"
