_id,OBJECTID,GEO_ID,NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,GENERAL_USE_CODE,LONG,LAT
500,500,8236598,IQRA ACADEMY,2704 DANFORTH AVE,Private,8236598,Danforth Ave,2704 Danforth Ave,M4C 1L7,former Toronto,Toronto,115001,-79.2985153766971,43.6891129560418
506,506,14258202,ISLAND PUBLIC NATURAL SCIENCE SCHOOL,30 CENTRE ISLAND PK,English Public,14258202,Centre Island Pk,30 Centre Island Pk,M5J 2E9,former Toronto,Toronto,102008,-79.3783881351182,43.6157002778621
498,498,9345075,INSTITUTE OF CANADIAN EDUCATION,140 LAROSE AVE,Private,9345075,La Rose Ave,140 La Rose Ave,M9P 1B2,Etobicoke,Toronto,115001,-79.5239498261081,43.6856250922006
502,502,318894,IROQUOIS JUNIOR PUBLIC SCHOOL,265 CHARTLAND BLVD S,English Public,318894,Chartland Blvd S,265 Chartland Blvd S,M1S 2S6,Scarborough,Toronto,102001,-79.2694408055289,43.8026801566349
503,503,73838,ISLAMIC EDUCATION GUIDANCE CENTRE,40 SOUTH STATION ST,Private,73838,South Station St,40 South Station St,M9N 2B3,York,Toronto,104008,-79.5169267182713,43.7010230242797
501,501,10313401,IQRA NEJASHI ISLAMIC SCHOOL,171 MCCORMACK ST,Private,10313401,McCormack St,171 McCormack St,M6N 1X8,York,Toronto,115001,-79.4791468321821,43.6750650785359
507,507,994430,ISLINGTON JUNIOR MIDDLE SCHOOL,44 CORDOVA AVE,English Public,994430,Cordova Ave,44 Cordova Ave,M9A 2H5,Etobicoke,Toronto,106007,-79.5279466910799,43.6474828161727
504,504,7561058,ISLAMIC FOUNDATION SCHOOL,441 NUGGET AVE,Private,7561058,Nugget Ave,441 Nugget Ave,M1S 5E1,Scarborough,Toronto,109001,-79.24174923157,43.7979783592912
499,499,347910,IONVIEW PUBLIC SCHOOL,90 IONVIEW RD,English Public,347910,Ionview Rd,90 Ionview Rd,M1K 2Z9,Scarborough,Toronto,102001,-79.2743179577449,43.7374516240236
509,509,4503984,J G WORKMAN PUBLIC SCHOOL,487 BIRCHMOUNT RD,English Public,4503984,Birchmount Rd,487 Birchmount Rd,M1K 1N7,Scarborough,Toronto,102001,-79.2671279279676,43.7071912568456
508,508,322672,J B TYRRELL SENIOR PUBLIC SCHOOL,10 CORINTHIAN BLVD,English Public,322672,Corinthian Blvd,10 Corinthian Blvd,M1W 1B3,Scarborough,Toronto,102001,-79.3241750662902,43.7888787686407
510,510,51261,J R WILCOX COMMUNITY SCHOOL,231 AVA RD,English Public,51261,Ava Rd,231 Ava Rd,M6C 1X3,York,Toronto,102001,-79.4363052648149,43.6949467937453
511,511,341468,JACK MINER SENIOR PUBLIC SCHOOL,405 GUILDWOOD PKWY,English Public,341468,Guildwood Pkwy,405 Guildwood Pkwy,M1E 1R3,Scarborough,Toronto,102001,-79.186968339472,43.749688633648
512,512,825367,JACKMAN AVENUE JUNIOR PUBLIC SCHOOL,79 JACKMAN AVE,English Public,825367,Jackman Ave,79 Jackman Ave,M4K 2X5,former Toronto,Toronto,102001,-79.3539353612732,43.6806502154921
513,513,2377004,JACKMAN INSTITUTE OF CHILD STUDY,45 WALMER RD,Private,2377004,Walmer Rd,45 Walmer Rd,M5R 2X2,former Toronto,Toronto,102007,-79.4058754979902,43.6696130765179
514,514,515997,JAMES CARDINAL MCGUIGAN CATHOLIC HIGH SCHOOL,1440 FINCH AVE W,English Separate,515997,Finch Ave W,1440 Finch Ave W,M3J 3G3,North York,Toronto,102004,-79.4937985997307,43.7632895737898
515,515,10561021,JAMES CULNAN CATHOLIC ELEMENTARY SCHOOL,605 WILLARD AVE,English Separate,10561021,Willard Ave,605 Willard Ave,M6S 3S1,York,Toronto,102003,-79.4855842504847,43.6611071189691
516,516,7287731,JAMES S BELL JUNIOR MIDDLE SPORTS AND WELLNESS ACADEMY,90 THIRTY FIRST ST,English Public,7287731,Thirty First St,90 Thirty First St,M8W 3E9,Etobicoke,Toronto,106007,-79.5301917018794,43.5943542260396
517,517,6522646,JARVIS COLLEGIATE INSTITUTE,495 JARVIS ST,English Public,6522646,Jarvis St,495 Jarvis St,M4Y 2G8,former Toronto,Toronto,102002,-79.3777587671164,43.6660913938656
518,518,4812502,JEAN AUGUSTINE GIRLS ACADEMY,35 GLENDOWER CRCT,English Public,4812502,Glendower Crct,35 Glendower Crct,M1T 2Z3,Scarborough,Toronto,102001,-79.3002623454523,43.7944199052402
520,520,2917716,JEAN VANIER CATHOLIC SECONDARY SCHOOL,959 MIDLAND AVE,English Separate,2917716,Midland Ave,959 Midland Ave,M1K 4G4,Scarborough,Toronto,102004,-79.2584143683704,43.7379399270559
519,519,30024946,JEAN LUMB PUBLIC SCHOOL,20 BRUNEL CRT,English Public,30024946,Brunel Crt,20 Brunel Crt,M5V 0R5,former Toronto,Toronto,114001,-79.3944968858206,43.6394568233632
521,521,7979412,JESSE KETCHUM JUNIOR & SENIOR PUBLIC SCHOOL,61 DAVENPORT RD,English Public,7979412,Davenport Rd,61 Davenport Rd,M5R 1H4,former Toronto,Toronto,102001,-79.3921392257859,43.6729826224861
522,522,363191,JOHN A LESLIE PUBLIC SCHOOL,459 MIDLAND AVE,English Public,363191,Midland Ave,459 Midland Ave,M1N 4A7,Scarborough,Toronto,102001,-79.2490593761566,43.7141086801971
525,525,7561025,JOHN ENGLISH JUNIOR MIDDLE SCHOOL,95 MIMICO AVE,English Public,7561025,Mimico Ave,95 Mimico Ave,M8V 1R4,Etobicoke,Toronto,106007,-79.4944180034274,43.6118557338467
524,524,1020094,JOHN D PARKER JUNIOR SCHOOL,202 MOUNT OLIVE DR,English Public,1020094,Mount Olive Dr,202 Mount Olive Dr,M9V 3Z5,Etobicoke,Toronto,102001,-79.5964455179149,43.7533579130158
526,526,11541855,JOHN FISHER JUNIOR PUBLIC SCHOOL,40 ERSKINE AVE,English Public,11541855,Erskine Ave,40 Erskine Ave,M4P 1Y2,former Toronto,Toronto,102001,-79.3974693799724,43.7119282510654
527,527,10512731,JOHN G ALTHOUSE MIDDLE SCHOOL,130 LLOYD MANOR RD,English Public,10512731,Lloyd Manor Rd,130 Lloyd Manor Rd,M9B 5K1,Etobicoke,Toronto,106007,-79.5540087673011,43.6683053235247
528,528,326649,JOHN G DIEFENBAKER PUBLIC SCHOOL,70 DEAN PARK RD,English Public,326649,Dean Park Rd,70 Dean Park Rd,M1B 2X3,Scarborough,Toronto,102001,-79.171869534813,43.8022950282646
529,529,6427801,JOHN MCCRAE SENIOR PUBLIC SCHOOL,431 MCCOWAN RD,English Public,6427801,McCowan Rd,431 McCowan Rd,M1J 1J1,Scarborough,Toronto,102001,-79.2398865092258,43.7440442493865
523,523,9668671,JOHN BUCHAN SENIOR PUBLIC SCHOOL,2450 BIRCHMOUNT RD,English Public,9668671,Birchmount Rd,2450 Birchmount Rd,M1T 2M5,Scarborough,Toronto,102001,-79.3021342614181,43.7851820434334
530,530,9234641,JOHN POLANYI COLLEGIATE INSTITUTE,640 LAWRENCE AVE W,English Public,9234641,Lawrence Ave W,640 Lawrence Ave W,M6A 1B1,North York,Toronto,102002,-79.439855309525,43.7178089516362
